year,lg,series,winner,loser,wins_winner,wins_loser
2019,NBA,Eastern Conf First Round,Milwaukee Bucks,Detroit Pistons,4,0
2019,NBA,Eastern Conf First Round,Toronto Raptors,Orlando Magic,4,1
2019,NBA,Eastern Conf First Round,Philadelphia 76ers,Brooklyn Nets,4,1
2019,NBA,Eastern Conf First Round,Boston Celtics,Indiana Pacers,4,0
2019,NBA,Western Conf First Round,Golden State Warriors,Los Angeles Clippers,4,2
2019,NBA,Western Conf First Round,Denver Nuggets,San Antonio Spurs,4,3
2019,NBA,Western Conf First Round,Portland Trail Blazers,Oklahoma City Thunder,4,1
2019,NBA,Western Conf First Round,Houston Rockets,Utah Jazz,4,1
2019,NBA,Eastern Conf Semifinals,Milwaukee Bucks,Boston Celtics,4,1
2019,NBA,Eastern Conf Semifinals,Toronto Raptors,Philadelphia 76ers,4,3
2019,NBA,Western Conf Semifinals,Golden State Warriors,Houston Rockets,4,2
2019,NBA,Western Conf Semifinals,Portland Trail Blazers,Denver Nuggets,4,3
2019,NBA,Eastern Conf Finals,Toronto Raptors,Milwaukee Bucks,4,2
2019,NBA,Western Conf Finals,Golden State Warriors,Portland Trail Blazers,4,0
2019,NBA,Finals,Toronto Raptors,Golden State Warriors,4,2
2018,NBA,Eastern Conf First Round,Toronto Raptors,Washington Wizards,4,2
2018,NBA,Eastern Conf First Round,Boston Celtics,Milwaukee Bucks,4,3
2018,NBA,Eastern Conf First Round,Philadelphia 76ers,Miami Heat,4,1
2018,NBA,Eastern Conf First Round,Cleveland Cavaliers,Indiana Pacers,4,3
2018,NBA,Western Conf First Round,Houston Rockets,Minnesota Timberwolves,4,1
2018,NBA,Western Conf First Round,Golden State Warriors,San Antonio Spurs,4,1
2018,NBA,Western Conf First Round,New Orleans Pelicans,Portland Trail Blazers,4,0
2018,NBA,Western Conf First Round,Utah Jazz,Oklahoma City Thunder,4,2
2018,NBA,Western Conf Semifinals,Golden State Warriors,New Orleans Pelicans,4,1
2018,NBA,Western Conf Semifinals,Houston Rockets,Utah Jazz,4,1
2018,NBA,Eastern Conf Semifinals,Boston Celtics,Philadelphia 76ers,4,1
2018,NBA,Eastern Conf Semifinals,Cleveland Cavaliers,Toronto Raptors,4,0
2018,NBA,Eastern Conf Finals,Cleveland Cavaliers,Boston Celtics,4,3
2018,NBA,Western Conf Finals,Golden State Warriors,Houston Rockets,4,3
2018,NBA,Finals,Golden State Warriors,Cleveland Cavaliers,4,0
2017,NBA,Eastern Conf First Round,Boston Celtics,Chicago Bulls,4,2
2017,NBA,Eastern Conf First Round,Cleveland Cavaliers,Indiana Pacers,4,0
2017,NBA,Eastern Conf First Round,Toronto Raptors,Milwaukee Bucks,4,2
2017,NBA,Eastern Conf First Round,Washington Wizards,Atlanta Hawks,4,2
2017,NBA,Western Conf First Round,Golden State Warriors,Portland Trail Blazers,4,0
2017,NBA,Western Conf First Round,San Antonio Spurs,Memphis Grizzlies,4,2
2017,NBA,Western Conf First Round,Houston Rockets,Oklahoma City Thunder,4,1
2017,NBA,Western Conf First Round,Utah Jazz,Los Angeles Clippers,4,3
2017,NBA,Eastern Conf Semifinals,Cleveland Cavaliers,Toronto Raptors,4,0
2017,NBA,Eastern Conf Semifinals,Boston Celtics,Washington Wizards,4,3
2017,NBA,Western Conf Semifinals,Golden State Warriors,Utah Jazz,4,0
2017,NBA,Western Conf Semifinals,San Antonio Spurs,Houston Rockets,4,2
2017,NBA,Western Conf Finals,Golden State Warriors,San Antonio Spurs,4,0
2017,NBA,Eastern Conf Finals,Cleveland Cavaliers,Boston Celtics,4,1
2017,NBA,Finals,Golden State Warriors,Cleveland Cavaliers,4,1
2016,NBA,Eastern Conf First Round,Cleveland Cavaliers,Detroit Pistons,4,0
2016,NBA,Eastern Conf First Round,Toronto Raptors,Indiana Pacers,4,3
2016,NBA,Eastern Conf First Round,Miami Heat,Charlotte Hornets,4,3
2016,NBA,Eastern Conf First Round,Atlanta Hawks,Boston Celtics,4,2
2016,NBA,Western Conf First Round,Golden State Warriors,Houston Rockets,4,1
2016,NBA,Western Conf First Round,San Antonio Spurs,Memphis Grizzlies,4,0
2016,NBA,Western Conf First Round,Oklahoma City Thunder,Dallas Mavericks,4,1
2016,NBA,Western Conf First Round,Portland Trail Blazers,Los Angeles Clippers,4,2
2016,NBA,Eastern Conf Semifinals,Cleveland Cavaliers,Atlanta Hawks,4,0
2016,NBA,Eastern Conf Semifinals,Toronto Raptors,Miami Heat,4,3
2016,NBA,Western Conf Semifinals,Golden State Warriors,Portland Trail Blazers,4,1
2016,NBA,Western Conf Semifinals,Oklahoma City Thunder,San Antonio Spurs,4,2
2016,NBA,Eastern Conf Finals,Cleveland Cavaliers,Toronto Raptors,4,2
2016,NBA,Western Conf Finals,Golden State Warriors,Oklahoma City Thunder,4,3
2016,NBA,Finals,Cleveland Cavaliers,Golden State Warriors,4,3
2015,NBA,Eastern Conf First Round,Atlanta Hawks,Brooklyn Nets,4,2
2015,NBA,Eastern Conf First Round,Cleveland Cavaliers,Boston Celtics,4,0
2015,NBA,Eastern Conf First Round,Chicago Bulls,Milwaukee Bucks,4,2
2015,NBA,Eastern Conf First Round,Washington Wizards,Toronto Raptors,4,0
2015,NBA,Western Conf First Round,Golden State Warriors,New Orleans Pelicans,4,0
2015,NBA,Western Conf First Round,Houston Rockets,Dallas Mavericks,4,1
2015,NBA,Western Conf First Round,Los Angeles Clippers,San Antonio Spurs,4,3
2015,NBA,Western Conf First Round,Memphis Grizzlies,Portland Trail Blazers,4,1
2015,NBA,Eastern Conf Semifinals,Cleveland Cavaliers,Chicago Bulls,4,2
2015,NBA,Eastern Conf Semifinals,Atlanta Hawks,Washington Wizards,4,2
2015,NBA,Western Conf Semifinals,Houston Rockets,Los Angeles Clippers,4,3
2015,NBA,Western Conf Semifinals,Golden State Warriors,Memphis Grizzlies,4,2
2015,NBA,Eastern Conf Finals,Cleveland Cavaliers,Atlanta Hawks,4,0
2015,NBA,Western Conf Finals,Golden State Warriors,Houston Rockets,4,1
2015,NBA,Finals,Golden State Warriors,Cleveland Cavaliers,4,2
2014,NBA,Eastern Conf First Round,Indiana Pacers,Atlanta Hawks,4,3
2014,NBA,Eastern Conf First Round,Miami Heat,Charlotte Bobcats,4,0
2014,NBA,Eastern Conf First Round,Brooklyn Nets,Toronto Raptors,4,3
2014,NBA,Eastern Conf First Round,Washington Wizards,Chicago Bulls,4,1
2014,NBA,Western Conf First Round,San Antonio Spurs,Dallas Mavericks,4,3
2014,NBA,Western Conf First Round,Oklahoma City Thunder,Memphis Grizzlies,4,3
2014,NBA,Western Conf First Round,Los Angeles Clippers,Golden State Warriors,4,3
2014,NBA,Western Conf First Round,Portland Trail Blazers,Houston Rockets,4,2
2014,NBA,Eastern Conf Semifinals,Indiana Pacers,Washington Wizards,4,2
2014,NBA,Eastern Conf Semifinals,Miami Heat,Brooklyn Nets,4,1
2014,NBA,Western Conf Semifinals,San Antonio Spurs,Portland Trail Blazers,4,1
2014,NBA,Western Conf Semifinals,Oklahoma City Thunder,Los Angeles Clippers,4,2
2014,NBA,Eastern Conf Finals,Miami Heat,Indiana Pacers,4,2
2014,NBA,Western Conf Finals,San Antonio Spurs,Oklahoma City Thunder,4,2
2014,NBA,Finals,San Antonio Spurs,Miami Heat,4,1
2013,NBA,Eastern Conf First Round,Miami Heat,Milwaukee Bucks,4,0
2013,NBA,Eastern Conf First Round,New York Knicks,Boston Celtics,4,2
2013,NBA,Eastern Conf First Round,Indiana Pacers,Atlanta Hawks,4,2
2013,NBA,Eastern Conf First Round,Chicago Bulls,Brooklyn Nets,4,3
2013,NBA,Western Conf First Round,Oklahoma City Thunder,Houston Rockets,4,2
